id,Gender,age_group,Customer_Type,Type_of_Travel,Class,Flight_Distance,Departure_Delay,Arrival_Delay
40181,M,60+,Loyal,B,Business,387,0,0
77039,F,0~9,Loyal,P,"Eco Plus",368,0,0
53655,M,50~59,Loyal,B,Business,3716,15,6
61362,F,20~29,Loyal,B,Business,2405,0,8
33269,M,40~49,Loyal,P,"Eco Plus",101,3,4
81427,F,40~49,Loyal,B,Eco,448,0,0
105475,F,40~49,Loyal,B,Business,3336,0,0
24917,M,20~29,disloyal,B,Eco,762,1,0
38328,F,10~19,Loyal,B,Business,2094,0,0
101554,M,10~19,Loyal,P,Eco,345,0,0
6825,M,50~59,Loyal,P,Eco,122,59,60
70492,F,60+,Loyal,B,Business,3502,8,27
7039,F,50~59,disloyal,B,"Eco Plus",196,1,6
101371,M,0~9,Loyal,P,Eco,1986,9,0
84332,F,60+,Loyal,B,Business,3380,0,0
37744,M,30~39,Loyal,P,Eco,972,29,14
61381,M,20~29,disloyal,B,Eco,679,13,13
77926,M,10~19,Loyal,P,Business,214,0,16
33509,M,60+,Loyal,P,Eco,965,3,0
93270,M,20~29,disloyal,B,Business,867,22,8
121347,F,40~49,Loyal,B,Business,3934,4,0
108684,F,50~59,Loyal,B,Business,577,0,0
124925,F,20~29,disloyal,B,Eco,728,17,19
125236,M,40~49,Loyal,B,Business,3869,0,0
101314,M,20~29,disloyal,B,Business,1076,0,0
121287,M,20~29,Loyal,B,Business,2282,3,0
79510,M,50~59,Loyal,B,Business,3079,0,0
15510,M,50~59,Loyal,P,Eco,164,0,0
129182,F,40~49,Loyal,B,Business,2288,5,0
1225,F,60+,Loyal,P,Eco,229,0,0
35147,F,20~29,disloyal,B,Eco,1102,3,7
14724,M,40~49,disloyal,B,"Eco Plus",317,56,44
101380,M,50~59,Loyal,B,Business,1647,9,6
112213,M,30~39,Loyal,B,Business,3470,21,10
14196,M,20~29,disloyal,B,Eco,620,0,0
110528,M,20~29,disloyal,B,Business,551,0,0
114028,M,40~49,Loyal,P,"Eco Plus",1844,52,30
56221,M,10~19,Loyal,B,Business,1608,0,0
58819,F,40~49,Loyal,P,Eco,1005,9,0
54019,F,40~49,Loyal,B,Business,3818,0,0
25065,M,60+,Loyal,P,Eco,594,32,29
29957,M,50~59,disloyal,B,Business,213,0,0
90753,M,20~29,Loyal,B,Business,2802,9,9
22557,F,30~39,disloyal,B,Business,223,1,0
122081,M,10~19,Loyal,P,Eco,130,14,9
71697,M,60+,Loyal,P,Eco,1197,113,132
78572,F,20~29,disloyal,B,Eco,630,0,0
60201,M,20~29,Loyal,B,Business,1546,0,0
46022,F,60+,Loyal,B,Eco,991,0,0
35220,F,40~49,Loyal,B,Eco,1074,0,0
83770,M,20~29,Loyal,P,Eco,926,299,313
2364,F,30~39,disloyal,B,Eco,925,0,20
32574,F,50~59,Loyal,B,Eco,101,0,0
45415,F,20~29,Loyal,B,Business,3204,0,8
4502,F,40~49,Loyal,B,Business,435,0,0
83245,F,50~59,Loyal,B,Eco,1979,7,15
32406,F,20~29,disloyal,B,Eco,163,0,0
34410,M,50~59,Loyal,P,Eco,728,5,0
70762,M,50~59,Loyal,B,Business,1795,60,55
21748,F,50~59,Loyal,P,Eco,563,3,0
63137,M,40~49,Loyal,B,Business,3381,14,15
1629,M,10~19,disloyal,B,Eco,999,7,21
127813,F,30~39,Loyal,B,Business,1582,0,0
10512,F,20~29,disloyal,B,Eco,74,0,4
16504,M,10~19,Loyal,P,Eco,246,46,30
71605,M,30~39,Loyal,B,Business,1844,10,5
124227,F,30~39,disloyal,B,Business,1423,0,0
127589,M,20~29,disloyal,B,Business,1074,0,0
17566,F,10~19,disloyal,B,Eco,1097,7,0
85206,F,50~59,Loyal,B,Business,3097,0,0
882,M,40~49,Loyal,B,Business,3474,0,0
4311,F,20~29,disloyal,B,Eco,184,0,15
7416,M,20~29,Loyal,B,Business,1906,10,37
2454,F,20~29,Loyal,P,Business,674,6,4
69770,M,30~39,Loyal,B,Business,2454,14,5
33692,F,20~29,disloyal,B,Eco,805,9,4
76492,F,30~39,disloyal,B,Business,481,0,3
103013,M,20~29,disloyal,B,Eco,687,0,0
90096,M,60+,Loyal,B,Business,3088,0,0
98667,F,40~49,Loyal,P,Eco,920,0,0
78611,F,20~29,disloyal,B,Eco,1272,0,0
71238,F,50~59,Loyal,B,Business,1656,11,29
129027,F,20~29,Loyal,B,Business,2611,0,0
3697,F,30~39,Loyal,B,Business,3802,0,8
67848,M,0~9,Loyal,P,Eco,1464,0,3
27159,F,40~49,Loyal,B,Business,2701,0,0
28630,F,30~39,Loyal,B,Eco,2349,0,0
13366,F,30~39,Loyal,P,Eco,946,8,0
81429,M,10~19,Loyal,P,Eco,393,0,0
13720,M,40~49,Loyal,B,Eco,401,0,0
29830,M,20~29,disloyal,B,Eco,399,2,4
65980,M,20~29,Loyal,P,Eco,1372,22,6
120213,F,30~39,Loyal,B,Business,1325,0,0
114961,F,30~39,Loyal,B,Business,3723,8,5
45134,F,20~29,disloyal,B,Business,174,0,0
13462,M,30~39,Loyal,P,Eco,409,0,0
69748,M,50~59,Loyal,B,Business,2474,0,0
18034,F,10~19,Loyal,B,Eco,488,52,38
60752,M,30~39,Loyal,B,Business,628,80,88
119675,F,50~59,Loyal,B,Business,1325,0,0
13630,F,20~29,disloyal,B,Eco,1014,46,42
64505,F,20~29,disloyal,B,Business,247,2,5
111270,F,40~49,Loyal,B,Business,2305,11,0
290,M,30~39,disloyal,B,Business,1250,0,0
1995,M,50~59,Loyal,P,Eco,383,1,0
9701,F,40~49,Loyal,P,Eco,277,1,4
128307,M,30~39,disloyal,B,Business,338,0,0
88308,M,20~29,disloyal,B,Eco,271,0,0
107883,F,50~59,disloyal,B,Business,228,0,0
69724,F,60+,Loyal,P,Eco,1372,20,30
17813,M,40~49,Loyal,B,Business,2738,0,0
10867,M,30~39,disloyal,B,Business,74,0,0
11444,F,40~49,Loyal,B,"Eco Plus",140,0,0
115563,M,30~39,disloyal,B,Eco,480,0,0
72480,M,50~59,Loyal,B,Business,918,34,29
57276,F,30~39,Loyal,P,Eco,628,41,31
115696,M,40~49,Loyal,B,Business,3232,0,0
76328,F,60+,Loyal,P,Eco,2182,0,4
95610,F,20~29,disloyal,B,Eco,822,0,0
102649,M,20~29,Loyal,B,Business,255,7,0
7215,M,30~39,Loyal,B,Business,135,0,0
36552,F,30~39,Loyal,B,Eco,1197,53,58
104471,M,30~39,Loyal,B,Business,3840,0,0
54177,F,30~39,Loyal,B,Business,1400,292,331
89186,F,30~39,Loyal,P,Eco,2139,0,0
82907,F,50~59,Loyal,P,Eco,594,32,20
19356,M,20~29,disloyal,B,Eco,692,9,13
45589,F,50~59,Loyal,B,Business,2002,78,82
18399,M,20~29,disloyal,B,Eco,284,105,125
69175,M,20~29,disloyal,B,Eco,187,0,3
82532,F,10~19,Loyal,P,Business,440,0,0
29006,F,20~29,disloyal,B,Eco,205,0,0
91418,F,30~39,Loyal,B,Business,2134,0,0
65683,M,60+,Loyal,P,Eco,861,0,0
47048,M,20~29,Loyal,B,Business,1842,0,8
27030,M,50~59,Loyal,B,"Eco Plus",954,42,35
49307,M,60+,Loyal,B,Business,109,0,0
19698,F,40~49,Loyal,B,Business,475,10,0
49505,M,20~29,Loyal,B,Business,2536,0,0
69198,M,60+,Loyal,B,Business,2569,0,0
118338,M,40~49,Loyal,B,Eco,202,8,3
110506,F,40~49,Loyal,B,Business,842,2,0
72708,F,40~49,Loyal,B,Business,1121,0,0
77969,F,30~39,Loyal,B,Business,2483,2,0
40550,F,20~29,Loyal,B,Business,2961,0,7
24752,F,40~49,Loyal,B,Eco,528,0,7
7158,F,40~49,Loyal,B,Business,139,39,33
117463,F,40~49,Loyal,P,"Eco Plus",1107,42,39
110519,F,40~49,Loyal,B,Business,3490,11,3
109859,F,30~39,Loyal,B,Business,1165,0,0
8409,M,20~29,Loyal,B,Business,3485,48,39
97098,F,20~29,disloyal,B,Business,1242,37,36
21759,F,20~29,disloyal,B,Business,341,29,14
60378,F,30~39,Loyal,B,Business,1452,37,30
119581,M,30~39,Loyal,B,Business,2276,0,0
17464,F,50~59,Loyal,B,Business,3234,3,0
23954,M,20~29,Loyal,B,Business,3294,0,0
39497,F,10~19,Loyal,P,Eco,1368,0,0
115878,M,30~39,disloyal,B,Eco,325,6,0
96733,M,60+,Loyal,P,Eco,696,19,24
62105,F,20~29,disloyal,B,Business,2425,5,0
61516,M,60+,Loyal,P,Eco,2253,4,4
70931,M,20~29,Loyal,B,Business,612,17,19
1640,F,10~19,Loyal,P,"Eco Plus",999,0,0
45558,M,50~59,Loyal,B,Business,1545,7,24
98683,M,10~19,Loyal,P,Eco,966,0,0
47454,F,10~19,Loyal,P,Eco,599,0,0
103465,F,10~19,Loyal,P,Eco,393,5,2
112388,F,40~49,Loyal,B,Business,3150,21,14
114983,M,30~39,disloyal,B,Business,373,0,0
116522,F,50~59,Loyal,P,Eco,358,6,0
117896,M,40~49,Loyal,B,Business,365,19,13
3069,F,20~29,disloyal,B,Business,413,0,12
110244,M,30~39,Loyal,B,Business,3427,27,9
72003,M,50~59,Loyal,B,Business,1440,0,0
88943,F,20~29,Loyal,B,Business,2333,0,6
38910,F,30~39,Loyal,B,Business,1615,9,14
66278,F,20~29,Loyal,B,"Eco Plus",460,0,15
44373,F,30~39,Loyal,B,"Eco Plus",596,0,0
27324,M,20~29,Loyal,B,Business,3782,0,0
94245,M,40~49,Loyal,B,Business,3369,2,2
103596,F,20~29,disloyal,B,Business,451,0,0
25732,F,30~39,Loyal,P,Eco,528,17,0
71236,F,20~29,disloyal,B,Eco,733,5,0
27618,M,20~29,Loyal,B,"Eco Plus",679,62,54
32374,F,30~39,Loyal,B,Business,3155,4,10
58015,M,30~39,Loyal,B,Business,1721,0,0
14551,M,10~19,Loyal,P,Eco,362,25,55
27026,M,60+,Loyal,P,Eco,867,0,0
101258,F,40~49,Loyal,B,Business,2176,43,31
72457,M,20~29,disloyal,B,Eco,964,0,0
115678,F,60+,Loyal,B,Business,3231,25,5
116176,F,50~59,Loyal,P,Eco,337,18,6
50871,M,60+,Loyal,P,Eco,77,0,0
8503,F,30~39,Loyal,B,Business,862,25,27
29591,F,40~49,disloyal,B,Business,1448,0,0
50999,M,50~59,Loyal,P,Eco,78,0,0
104303,F,40~49,Loyal,B,Business,2993,0,0
43511,F,40~49,Loyal,P,Eco,594,0,0
1018,F,50~59,Loyal,B,Business,2031,0,0
104273,F,30~39,disloyal,B,Business,1749,10,0
110588,F,20~29,Loyal,P,Eco,643,21,32
94135,M,20~29,disloyal,B,Business,248,20,22
89566,M,20~29,Loyal,B,Business,2267,0,0
50226,F,20~29,disloyal,B,Eco,190,0,12
23440,M,20~29,Loyal,B,Business,488,72,76
81227,F,30~39,Loyal,B,"Eco Plus",1026,3,0
34617,M,40~49,Loyal,B,"Eco Plus",998,258,288
50297,M,50~59,Loyal,B,Business,1770,0,0
93943,M,30~39,Loyal,P,Eco,507,1,3
45385,F,20~29,Loyal,P,"Eco Plus",150,0,0
109023,F,10~19,Loyal,B,Eco,816,8,12
96262,M,50~59,Loyal,P,Eco,460,5,0
29912,M,40~49,Loyal,B,Business,160,0,0
40104,F,20~29,disloyal,B,Eco,422,0,0
69048,F,60+,Loyal,B,Business,1521,0,0
11600,F,50~59,Loyal,B,Eco,257,0,0
30121,F,0~9,Loyal,P,Eco,82,104,105
91927,F,50~59,Loyal,B,Business,2475,0,0
5620,F,10~19,Loyal,P,Eco,624,10,5
8468,M,40~49,Loyal,B,Business,1187,0,0
58614,M,30~39,disloyal,B,Business,235,121,118
123846,M,30~39,Loyal,B,Business,603,40,25
118109,M,20~29,Loyal,P,Eco,1999,6,5
20047,F,20~29,disloyal,B,Eco,473,0,0
127517,M,20~29,Loyal,P,"Eco Plus",2075,18,51
10334,M,20~29,disloyal,B,Eco,224,0,0
9055,F,20~29,Loyal,B,Business,212,1,0
98990,M,20~29,Loyal,P,Eco,569,0,0
44738,F,30~39,Loyal,B,"Eco Plus",67,8,5
93031,F,40~49,disloyal,B,Business,317,3,32
69556,M,50~59,Loyal,B,Business,2475,8,34
107361,F,30~39,Loyal,P,Eco,632,2,0
81325,F,40~49,Loyal,B,Business,1299,0,0
44612,M,50~59,Loyal,B,Eco,566,2,0
25893,F,40~49,Loyal,B,Business,507,28,42
25092,M,50~59,Loyal,B,Eco,369,0,13
106444,M,50~59,Loyal,P,Eco,1062,27,39
121252,F,30~39,disloyal,B,Eco,755,0,0
66425,M,50~59,Loyal,P,Eco,1562,4,0
113999,F,30~39,disloyal,B,Eco,999,33,19
47297,M,40~49,Loyal,B,Eco,584,0,0
95914,F,50~59,Loyal,B,Business,1504,58,69
10937,F,50~59,Loyal,B,Business,2191,0,0
127886,F,30~39,Loyal,B,"Eco Plus",1276,0,36
52711,M,30~39,Loyal,B,Business,2860,9,0
49638,F,30~39,Loyal,B,Business,156,0,0
41952,F,50~59,Loyal,B,Eco,575,0,0
21882,M,20~29,disloyal,B,Eco,448,18,8
125054,F,60+,Loyal,P,"Eco Plus",2300,17,66
109018,F,20~29,disloyal,B,Eco,928,14,15
39442,M,60+,Loyal,B,Business,2342,0,6
87712,M,50~59,Loyal,P,Eco,606,0,0
129331,F,10~19,disloyal,B,Eco,964,16,4
102588,M,60+,Loyal,B,"Eco Plus",397,14,8
100659,M,50~59,Loyal,B,Business,2361,0,0
91188,F,20~29,Loyal,P,Eco,545,0,0
102686,F,50~59,Loyal,B,Eco,365,24,15
56728,F,60+,Loyal,P,Eco,937,15,3
41655,F,30~39,Loyal,B,Business,1780,0,0
86725,F,30~39,Loyal,P,Eco,1747,26,19
74213,F,20~29,Loyal,P,"Eco Plus",592,0,0
114731,M,40~49,Loyal,B,Business,337,25,33
67304,M,20~29,Loyal,B,"Eco Plus",929,43,42
44220,F,20~29,disloyal,B,Eco,222,0,7
1363,M,40~49,Loyal,B,Business,354,0,2
110050,M,10~19,Loyal,P,Eco,1984,0,0
92092,F,30~39,disloyal,B,Business,1576,2,0
40542,M,40~49,Loyal,B,Business,2045,0,0
128079,F,50~59,Loyal,B,Business,2860,15,21
67909,F,10~19,Loyal,P,Eco,1171,15,22
44550,M,10~19,Loyal,P,Eco,157,0,0
6572,M,50~59,Loyal,B,Business,607,22,9
93566,M,50~59,Loyal,P,Business,159,0,0
62750,M,40~49,Loyal,B,Business,2486,0,0
11644,F,50~59,Loyal,B,Business,3750,0,0
70888,F,60+,Loyal,P,Business,1721,12,38
53251,F,50~59,Loyal,P,"Eco Plus",612,2,0
66606,F,50~59,Loyal,P,Eco,761,71,58
124861,M,50~59,Loyal,B,Business,3282,28,24
4555,F,40~49,Loyal,B,Business,3680,0,0
113674,F,10~19,Loyal,P,Eco,407,0,0
85803,F,30~39,Loyal,B,Business,3705,0,14
8631,F,0~9,Loyal,P,Business,181,0,0
93186,F,50~59,Loyal,B,Business,2387,0,0
35920,F,60+,Loyal,B,"Eco Plus",2248,0,0
88404,M,40~49,Loyal,B,Business,2208,16,11
125214,F,50~59,Loyal,P,Eco,651,10,14
19123,M,50~59,Loyal,B,Eco,287,0,1
30223,F,40~49,Loyal,P,Eco,1109,0,31
60734,M,0~9,Loyal,P,Eco,1605,15,0
85742,F,40~49,Loyal,B,Business,1999,0,0
3861,F,40~49,Loyal,B,Business,213,74,63
107039,F,40~49,Loyal,B,Business,395,56,49
72562,F,50~59,Loyal,B,Business,1972,0,0
101950,F,20~29,disloyal,B,Business,628,0,0
41833,M,50~59,Loyal,B,Business,462,0,1
109738,F,40~49,Loyal,P,Eco,468,45,51
45611,M,30~39,Loyal,B,Business,1852,15,37
107729,M,10~19,Loyal,P,Eco,405,14,14
109878,F,20~29,disloyal,B,Eco,971,0,0
102793,F,20~29,Loyal,P,Eco,1099,1,1
57788,M,30~39,Loyal,P,Eco,2704,8,39
44926,F,30~39,Loyal,B,Eco,438,1,11
112791,F,50~59,Loyal,B,Business,1390,21,0
8761,M,40~49,Loyal,P,Eco,1147,19,0
23365,F,40~49,Loyal,B,Eco,1014,117,100
83817,F,20~29,disloyal,B,Eco,425,2,0
28198,M,20~29,Loyal,P,Eco,834,0,0
16644,F,20~29,disloyal,B,Eco,488,10,0
18698,M,60+,Loyal,B,"Eco Plus",383,7,14
71180,M,30~39,Loyal,P,Business,733,57,38
48004,M,10~19,disloyal,B,Eco,550,0,0
29409,F,60+,Loyal,P,Eco,2614,0,0
99798,M,30~39,disloyal,B,Eco,584,135,134
83573,M,30~39,Loyal,B,Business,3653,0,0
37578,M,30~39,disloyal,B,Business,1069,0,0
56171,M,50~59,Loyal,B,Business,1000,10,0
99197,F,20~29,disloyal,B,Business,1180,0,0
101420,F,20~29,disloyal,B,Business,345,14,12
17457,M,20~29,Loyal,P,"Eco Plus",351,0,0
4053,M,0~9,Loyal,P,Eco,483,0,13
108271,F,0~9,Loyal,P,Eco,895,1,0
128944,M,20~29,disloyal,B,Eco,414,1,0
48736,F,50~59,Loyal,B,Business,1571,56,47
79235,M,60+,Loyal,P,Eco,1521,46,67
57007,F,40~49,Loyal,P,Eco,2565,0,0
6814,M,20~29,Loyal,P,Eco,122,1,0
13128,F,40~49,disloyal,B,Business,427,1,0
54447,M,20~29,disloyal,B,Business,844,0,0
49429,M,30~39,Loyal,B,Business,3193,10,3
90644,F,40~49,Loyal,B,Business,366,8,43
118816,F,30~39,disloyal,B,Business,369,42,40
5870,M,50~59,Loyal,P,Business,173,25,22
19011,M,40~49,disloyal,B,Eco,788,222,225
55059,M,10~19,disloyal,B,Eco,908,20,0
30086,F,30~39,Loyal,P,Eco,261,0,0
117665,M,50~59,Loyal,B,Business,1449,4,0
12065,F,10~19,Loyal,P,Eco,376,46,41
61168,M,30~39,Loyal,B,Business,3126,0,0
63298,M,30~39,Loyal,B,Business,1697,0,13
16808,F,40~49,Loyal,B,Eco,645,73,64
119156,M,20~29,Loyal,B,Business,2513,0,0
119771,M,40~49,Loyal,B,Business,936,0,0
13313,M,40~49,disloyal,B,Eco,448,52,46
93987,F,0~9,Loyal,P,Eco,1315,0,0
125129,M,50~59,Loyal,P,Eco,361,0,0
94325,F,40~49,Loyal,B,Business,562,94,86
102688,F,30~39,disloyal,B,Eco,365,1,0
31203,F,20~29,Loyal,B,Business,628,0,0
17223,F,10~19,Loyal,B,Business,3468,0,11
45926,M,50~59,disloyal,B,Eco,409,0,5
123273,F,50~59,Loyal,P,Eco,468,1,30
109373,F,30~39,Loyal,B,Business,2440,20,10
118482,M,30~39,Loyal,B,Business,370,10,4
21715,M,50~59,Loyal,B,Eco,952,0,0
121889,F,60+,Loyal,P,Eco,366,0,0
46490,F,50~59,Loyal,B,Eco,73,17,13
47535,M,10~19,Loyal,P,Eco,599,0,0
75426,F,40~49,Loyal,B,Eco,2342,2,13
17516,F,30~39,Loyal,P,Eco,352,0,12
3899,F,50~59,disloyal,B,Eco,213,0,0
89782,M,40~49,Loyal,P,Eco,950,49,32
61211,F,50~59,Loyal,B,Eco,967,5,0
8077,M,50~59,Loyal,B,Business,335,0,0
80963,F,40~49,Loyal,B,Business,2066,0,0
114709,F,40~49,Loyal,B,Business,371,9,9
89504,M,60+,Loyal,P,Eco,684,0,0
27096,M,20~29,disloyal,B,Eco,1373,0,0
69140,F,30~39,Loyal,B,Business,2248,317,324
25399,M,20~29,Loyal,B,Business,990,0,0
84151,F,20~29,disloyal,B,Eco,1355,18,19
49215,M,30~39,Loyal,B,Business,3946,0,0
73989,F,30~39,Loyal,P,"Eco Plus",2218,0,0
46030,F,60+,Loyal,B,Eco,964,0,0
32047,F,30~39,disloyal,B,Eco,101,0,0
25662,F,50~59,Loyal,B,Eco,761,0,0
25472,M,10~19,disloyal,B,Eco,547,17,0
51505,M,20~29,disloyal,B,Eco,370,0,0
113791,M,40~49,Loyal,B,Business,2779,1,0
116304,F,30~39,Loyal,P,Eco,373,27,28
18596,F,30~39,Loyal,B,Business,3293,3,0
62589,F,40~49,disloyal,B,Eco,226,3,0
44985,F,50~59,Loyal,B,Eco,222,0,0
25615,M,40~49,Loyal,B,Business,526,48,51
79119,M,40~49,Loyal,P,Eco,226,0,0
109775,F,50~59,Loyal,B,Business,2872,6,0
69690,F,40~49,Loyal,B,Business,1372,0,26
86666,M,40~49,Loyal,P,Eco,746,25,32
24470,F,20~29,Loyal,B,Business,3186,109,120
124501,F,40~49,Loyal,B,Business,3473,0,0
41035,F,20~29,disloyal,B,Eco,1086,0,0
43619,M,60+,Loyal,B,Eco,297,40,26
113860,M,30~39,Loyal,B,Eco,1334,15,0
114459,F,30~39,Loyal,B,Business,3951,0,0
22464,M,50~59,Loyal,P,Eco,238,0,13
50022,F,40~49,Loyal,B,Eco,308,0,0
97107,M,50~59,Loyal,B,Business,1390,15,8
31370,M,30~39,Loyal,B,Business,3749,0,0
103369,M,40~49,Loyal,P,Eco,342,6,0
64293,F,50~59,Loyal,B,Business,3893,23,16
105081,M,60+,Loyal,B,Business,220,0,0
44080,M,30~39,Loyal,B,"Eco Plus",651,0,0
18017,F,60+,Loyal,P,Eco,332,0,0
69894,F,40~49,Loyal,B,Business,1671,0,0
111812,F,20~29,Loyal,P,Eco,349,0,2
57003,M,20~29,Loyal,P,Eco,2454,7,0
25181,M,20~29,Loyal,B,Business,577,35,17
79612,F,50~59,Loyal,B,Eco,749,52,35
112164,M,30~39,Loyal,B,Business,2130,14,27
27757,F,40~49,Loyal,B,Business,1448,6,0
127316,M,30~39,Loyal,P,Eco,1979,0,0
100401,F,50~59,Loyal,B,Business,1646,0,0
25131,M,40~49,Loyal,B,Business,2832,161,175
96336,F,50~59,Loyal,B,Business,1609,0,0
89231,M,30~39,Loyal,B,Business,2139,78,68
56762,F,30~39,disloyal,B,Business,937,0,0
11980,M,40~49,Loyal,B,Eco,643,2,0
8295,M,50~59,Loyal,P,Eco,125,0,0
18771,F,20~29,disloyal,B,Business,448,0,0
100157,F,20~29,disloyal,B,Eco,725,11,18
59467,F,50~59,Loyal,B,Business,758,0,0
99873,F,20~29,disloyal,B,Business,1436,0,0
124062,F,30~39,disloyal,B,Eco,2153,0,0
78662,M,20~29,disloyal,B,Business,834,0,5
42092,F,20~29,Loyal,B,Eco,964,0,0
72285,M,10~19,Loyal,P,Eco,921,1,0
45168,M,60+,Loyal,P,Eco,174,0,0
44754,M,60+,Loyal,P,Eco,612,18,10
5781,M,40~49,Loyal,B,Business,157,95,122
49369,M,30~39,Loyal,B,Business,86,0,0
26102,M,60+,Loyal,P,Eco,591,20,20
89760,F,20~29,Loyal,P,Eco,1010,102,190
42986,F,60+,Loyal,B,Business,3467,0,0
86384,F,40~49,Loyal,B,Business,2706,36,40
66722,F,50~59,Loyal,P,Eco,978,0,0
91438,F,20~29,disloyal,B,Eco,859,17,21
113405,F,50~59,Loyal,B,Business,3273,64,51
105564,F,30~39,Loyal,B,Business,2614,23,17
42171,M,60+,Loyal,B,Eco,451,0,0
124528,M,30~39,Loyal,B,Business,3496,0,0
32264,F,30~39,Loyal,B,Eco,101,2,13
114687,F,20~29,disloyal,B,Eco,308,11,10
104220,F,10~19,Loyal,B,Business,1979,7,2
15761,F,30~39,Loyal,P,Eco,544,46,30
48065,F,40~49,Loyal,B,Business,2143,104,109
89390,M,50~59,disloyal,B,Business,151,10,2
124794,F,20~29,disloyal,B,Business,280,0,0
34375,F,50~59,Loyal,P,Business,612,0,0
10482,M,50~59,Loyal,B,Business,2013,0,0
18146,F,40~49,disloyal,B,Business,296,0,0
48342,F,40~49,Loyal,B,Eco,522,99,87
15914,M,40~49,Loyal,B,Eco,607,66,60
64938,F,50~59,Loyal,B,Business,2511,0,0
7104,F,20~29,Loyal,P,Eco,157,0,0
48150,M,20~29,Loyal,B,Eco,391,176,177
121738,M,40~49,Loyal,P,Eco,1475,0,0
109219,M,30~39,Loyal,B,Business,255,0,0
55811,F,40~49,Loyal,B,Business,1416,0,0
15461,M,30~39,Loyal,B,Eco,399,0,0
36095,M,30~39,Loyal,P,Eco,399,0,0
62746,M,30~39,Loyal,B,Business,2556,6,9
37950,M,10~19,Loyal,P,"Eco Plus",937,0,0
99114,M,10~19,Loyal,P,Eco,237,8,45
4974,M,40~49,Loyal,B,Business,2333,119,125
59349,M,30~39,disloyal,B,Business,2447,0,0
29125,F,60+,Loyal,P,Eco,605,0,0
12515,M,40~49,Loyal,B,Business,3422,10,21
22108,F,30~39,Loyal,B,Business,3432,0,0
72556,M,50~59,Loyal,B,Eco,929,0,0
89556,F,20~29,disloyal,B,Eco,1096,41,21
13780,M,30~39,Loyal,B,Business,837,0,4
81758,M,50~59,Loyal,B,Business,1310,135,136
9368,M,40~49,Loyal,B,Business,3072,0,0
44270,M,30~39,Loyal,P,Eco,137,0,0
62634,F,10~19,Loyal,P,Eco,1723,0,32
75031,F,10~19,Loyal,P,Eco,236,0,0
127117,M,50~59,Loyal,P,Eco,370,0,7
16318,M,50~59,Loyal,B,Business,3986,0,14
7985,F,50~59,Loyal,B,Business,3980,0,0
23344,F,60+,Loyal,P,Eco,674,0,0
66305,M,40~49,Loyal,B,Business,1575,0,0
602,F,50~59,Loyal,B,Business,2797,0,0
51750,F,40~49,Loyal,P,Eco,355,0,1
78762,M,20~29,Loyal,B,Eco,528,95,91
56217,F,50~59,Loyal,B,Business,1608,9,10
99811,F,20~29,disloyal,B,Business,584,27,8
77403,F,60+,Loyal,P,Eco,590,3,0
18692,M,60+,Loyal,P,Eco,127,0,0
118575,M,50~59,Loyal,B,Business,2041,3,0
82652,F,50~59,Loyal,B,Business,120,63,69
32905,M,10~19,Loyal,P,Eco,163,0,0
75980,F,50~59,Loyal,P,Eco,297,15,2
82660,F,40~49,Loyal,P,Eco,120,0,0
62512,F,40~49,Loyal,B,Business,1744,12,0
76032,F,60+,Loyal,P,Eco,311,0,4
68075,F,20~29,disloyal,B,Eco,813,0,7
112407,F,30~39,Loyal,B,Business,1862,0,0
